name,2dumap1,2dumap2,3dumap1,3dumap2,3dumap3
GRB130907760,6.221321,6.9936485,6.389743,7.0702825,2.8775318
GRB130912358,4.8067713,6.2667646,4.9685707,6.404968,2.488494
GRB130919173,6.742509,7.3271127,6.815995,7.194516,3.8476713
GRB130919352,8.502181,3.4515615,8.9430485,3.695769,3.5823162
GRB130919985,9.461601,5.4188747,9.7903805,5.5165405,4.6452026
GRB130924255,8.6822195,5.8535504,9.214848,6.130808,4.2925587
GRB130924910,7.0448585,6.921692,7.5557084,7.032151,3.4804006
GRB130925173,9.229337,2.5852113,9.478841,3.114253,3.2507355
GRB130925546,8.542104,3.21904,9.324354,3.533771,3.2027235
GRB130928537,9.440026,2.7000775,9.826656,3.3274689,3.2407818
GRB130929375,7.8134723,6.077379,8.064836,6.1716046,4.3200893
GRB131002288,8.812639,6.1574655,8.964325,6.165703,4.735189
GRB131004904,6.535633,7.51729,6.8412523,7.5315204,2.957412
GRB131006367,3.2591813,3.5702899,3.2304337,3.6733341,5.034077
GRB131006840,10.267806,3.2218473,9.839374,3.4477425,4.333639
GRB131008858,9.957064,5.326409,9.604778,5.094309,5.150928
GRB131011741,10.352435,2.97558,9.996931,3.225273,4.2032104
GRB131014215,9.483487,7.9290996,8.823865,7.5543823,7.039177
GRB131014513,10.052399,5.7716465,9.32192,5.345212,5.5713015
GRB131018673,10.24309,2.9260914,10.026204,3.4519134,4.0277486
GRB131020113,7.5622845,6.4246945,7.8566546,6.568727,4.164936
GRB131021352,4.8127537,5.87631,5.059913,6.125845,2.809478
GRB131024900,10.031793,2.803828,9.797166,3.1771824,4.025729
GRB131028076,8.724494,3.6499138,8.530588,3.4979427,4.15107
GRB131028096,8.20198,4.030916,8.378193,4.057546,3.8439546
GRB131029973,9.497419,2.6920035,9.281322,3.0481791,3.8783698
GRB131030653,7.9207883,4.300766,8.694203,4.6207027,3.327606
GRB131030791,9.505842,6.6209426,9.144841,6.323488,5.72909
GRB131031482,9.15915,7.9963293,8.729956,7.681259,6.81711
GRB131102622,9.705933,4.4867115,9.684178,4.4715915,4.428261
GRB131105087,8.9244995,4.522405,8.739122,4.602558,4.47422
GRB131108024,10.063031,4.6767335,9.43209,4.4825435,5.1442475
